scene_id,platform,acquisition_date,orbit_pass,relative_orbit,absolute_orbit,polarization,size_mb,gap_days
S1A_IW_SLC__1SDV_20180509T105825_20180509T105852_021827_025AF1_18F6,Sentinel-1A,2018-05-09 10:58:25+00:00,ASCENDING,55,21827,VV+VH,4642.4,0.0
S1A_IW_SLC__1SDV_20180521T105801_20180521T105828_022002_026085_C143,Sentinel-1A,2018-05-21 10:58:01+00:00,ASCENDING,55,22002,VV+VH,4593.0,11.0
S1A_IW_SLC__1SDV_20180521T105826_20180521T105853_022002_026085_AD36,Sentinel-1A,2018-05-21 10:58:26+00:00,ASCENDING,55,22002,VV+VH,4614.7,0.0
S1A_IW_SLC__1SDV_20180602T105801_20180602T105828_022177_026616_74FC,Sentinel-1A,2018-06-02 10:58:01+00:00,ASCENDING,55,22177,VV+VH,4675.4,11.0
S1A_IW_SLC__1SDV_20180602T105826_20180602T105853_022177_026616_7AAD,Sentinel-1A,2018-06-02 10:58:26+00:00,ASCENDING,55,22177,VV+VH,4689.2,0.0
S1A_IW_SLC__1SDV_20180614T105802_20180614T105829_022352_026B88_A359,Sentinel-1A,2018-06-14 10:58:02+00:00,ASCENDING,55,22352,VV+VH,4612.8,11.0
S1A_IW_SLC__1SDV_20180614T105827_20180614T105854_022352_026B88_0FA3,Sentinel-1A,2018-06-14 10:58:27+00:00,ASCENDING,55,22352,VV+VH,4628.1,0.0
S1A_IW_SLC__1SDV_20180626T105803_20180626T105830_022527_0270AD_63A4,Sentinel-1A,2018-06-26 10:58:03+00:00,ASCENDING,55,22527,VV+VH,4641.6,11.0
S1A_IW_SLC__1SDV_20180626T105828_20180626T105855_022527_0270AD_D256,Sentinel-1A,2018-06-26 10:58:28+00:00,ASCENDING,55,22527,VV+VH,4650.2,0.0
S1A_IW_SLC__1SDV_20180708T105804_20180708T105830_022702_0275C9_6034,Sentinel-1A,2018-07-08 10:58:04+00:00,ASCENDING,55,22702,VV+VH,4609.0,11.0
S1A_IW_SLC__1SDV_20180708T105828_20180708T105855_022702_0275C9_DA8A,Sentinel-1A,2018-07-08 10:58:28+00:00,ASCENDING,55,22702,VV+VH,4639.6,0.0
S1A_IW_SLC__1SDV_20180720T105804_20180720T105831_022877_027B24_DB07,Sentinel-1A,2018-07-20 10:58:04+00:00,ASCENDING,55,22877,VV+VH,4647.4,11.0
S1A_IW_SLC__1SDV_20180720T105829_20180720T105856_022877_027B24_55CF,Sentinel-1A,2018-07-20 10:58:29+00:00,ASCENDING,55,22877,VV+VH,4640.5,0.0
S1A_IW_SLC__1SDV_20180801T105804_20180801T105832_023052_0280AE_278A,Sentinel-1A,2018-08-01 10:58:04+00:00,ASCENDING,55,23052,VV+VH,4797.8,11.0
S1A_IW_SLC__1SDV_20180801T105830_20180801T105857_023052_0280AE_BA90,Sentinel-1A,2018-08-01 10:58:30+00:00,ASCENDING,55,23052,VV+VH,4630.7,0.0
S1B_IW_SLC__1SDV_20180819T105745_20180819T105817_012331_016BA4_D6FF,Sentinel-1B,2018-08-19 10:57:45+00:00,ASCENDING,55,12331,VV+VH,5446.1,17.0
S1A_IW_SLC__1SDV_20180825T105806_20180825T105833_023402_028BE6_D334,Sentinel-1A,2018-08-25 10:58:06+00:00,ASCENDING,55,23402,VV+VH,4617.7,6.0
S1A_IW_SLC__1SDV_20180825T105831_20180825T105858_023402_028BE6_3C70,Sentinel-1A,2018-08-25 10:58:31+00:00,ASCENDING,55,23402,VV+VH,4629.3,0.0
S1A_IW_SLC__1SDV_20180906T105807_20180906T105834_023577_02917A_B594,Sentinel-1A,2018-09-06 10:58:07+00:00,ASCENDING,55,23577,VV+VH,4613.3,11.0
S1A_IW_SLC__1SDV_20180906T105832_20180906T105859_023577_02917A_CD9E,Sentinel-1A,2018-09-06 10:58:32+00:00,ASCENDING,55,23577,VV+VH,4634.0,0.0
S1A_IW_SLC__1SDV_20180918T105806_20180918T105834_023752_029716_196E,Sentinel-1A,2018-09-18 10:58:06+00:00,ASCENDING,55,23752,VV+VH,4837.5,11.0
S1A_IW_SLC__1SDV_20180918T105832_20180918T105859_023752_029716_CE59,Sentinel-1A,2018-09-18 10:58:32+00:00,ASCENDING,55,23752,VV+VH,4662.8,0.0
S1A_IW_SLC__1SDV_20180930T105808_20180930T105835_023927_029CC5_5E8A,Sentinel-1A,2018-09-30 10:58:08+00:00,ASCENDING,55,23927,VV+VH,4589.5,11.0
S1A_IW_SLC__1SDV_20180930T105832_20180930T105859_023927_029CC5_6621,Sentinel-1A,2018-09-30 10:58:32+00:00,ASCENDING,55,23927,VV+VH,4609.1,0.0
S1A_IW_SLC__1SDV_20181012T105808_20181012T105835_024102_02A287_4055,Sentinel-1A,2018-10-12 10:58:08+00:00,ASCENDING,55,24102,VV+VH,4580.3,11.0
S1A_IW_SLC__1SDV_20181012T105833_20181012T105900_024102_02A287_F8BD,Sentinel-1A,2018-10-12 10:58:33+00:00,ASCENDING,55,24102,VV+VH,4597.4,0.0
S1A_IW_SLC__1SDV_20181024T105808_20181024T105835_024277_02A830_A5D5,Sentinel-1A,2018-10-24 10:58:08+00:00,ASCENDING,55,24277,VV+VH,4618.0,11.0
S1A_IW_SLC__1SDV_20181024T105833_20181024T105900_024277_02A830_51CC,Sentinel-1A,2018-10-24 10:58:33+00:00,ASCENDING,55,24277,VV+VH,4654.1,0.0
